cast_set_num,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,cast_total_facebook_likes
CS1288,Robert Zemeckis,0,Lea Thompson,1000,Jeffrey Weissman,869,Thomas F. Wilson,690,3660
CS1289,Luc Besson,0,Scarlett Johansson,19000,Morgan Freeman,11000,Amr Waked,903,32325
CS1290,Sam Taylor-Johnson,456,Jennifer Ehle,1000,Luke Grimes,935,Callum Rennie,716,4585
CS1291,Robert Rodriguez,0,Sylvester Stallone,13000,Salma Hayek,4000,Alexa PenaVega,2000,22935
CS1292,Joel Schumacher,541,Kevin Spacey,18000,Matthew McConaughey,11000,Oliver Platt,1000,31349
CS1293,Shawn Levy,189,Tom Welling,3000,Alyson Stoner,2000,Bonnie Hunt,597,7014
CS1294,Peter Berg,532,Jerry Ferrara,480,Scott Elrod,449,Dan Bilzerian,127,1261
CS1295,Penny Marshall,545,Tom Hanks,15000,Lori Petty,923,Rosie O'Donnell,251,16751
CS1296,James Wan,0,Javier Botet,1000,Frances O'Connor,575,Robin Atkin Downes,336,2676
CS1297,David Fincher,21000,Andrew Garfield,10000,Dustin Fitzsimons,349,Marcella Lentz-Pope,81,10555
CS1298,Ken Kwapis,42,Carmen Perez,97,Sabrina Revelle,50,Sachiko Ishida,49,318
CS1299,David Zucker,119,Beau Mirchoff,2000,Carmen Electra,869,Regina Hall,807,5855
CS1300,Wes Craven,0,Kelly Rutherford,287,Roger Jackson,157,Nancy O'Dell,71,600
CS1301,Robert Zemeckis,0,Lea Thompson,1000,Jeffrey Weissman,869,Thomas F. Wilson,690,3986
CS1302,Etan Cohen,164,Will Ferrell,8000,Alison Brie,2000,Craig T. Nelson,723,12556
CS1303,Francis Ford Coppola,0,Keanu Reeves,18000,Anthony Hopkins,12000,Gary Oldman,10000,42220
CS1304,Nora Ephron,0,Meryl Streep,11000,Mary Lynn Rajskub,935,Vanessa Ferlito,923,13321
CS1305,Brian Helgeland,241,Harrison Ford,11000,Christopher Meloni,3000,Nicole Beharie,898,16911
CS1306,Anthony Minghella,333,Philip Seymour Hoffman,22000,Matt Damon,13000,Jack Davenport,1000,36810
CS1307,Bobby Farrelly,101,Bill Murray,13000,Kathleen Turner,899,Rob Riggle,839,16179
CS1308,Frank Marshall,155,Paul Walker,23000,Bruce Greenwood,984,Wendy Crewson,249,24300
CS1309,Nancy Meyers,278,Robert De Niro,22000,Anne Hathaway,11000,Rene Russo,808,36010
CS1310,Tim Story,167,Olivia Munn,2000,Nadine Velazquez,874,Bruce McGill,655,5178
CS1311,Michael Mann,0,Wes Studi,855,Terry Kinney,363,Eric Schweig,322,2144
CS1312,Taylor Hackford,138,Bokeem Woodbine,904,Curtis Armstrong,876,Harry Lennix,748,5074
CS1313,Frank Miller,436,Rosario Dawson,3000,Powers Boothe,472,Jason Douglas,175,3924
CS1314,Pete Travis,38,Dennis Quaid,2000,Edgar Ramírez,897,William Hurt,882,6775
CS1315,John Hamburg,29,J.K. Simmons,24000,Jon Favreau,4000,Jane Curtin,257,28928
CS1316,Bobby Farrelly,101,Jason Alexander,700,Bruce McGill,655,Susan Ward,398,2842
CS1317,Oliver Stone,0,Sally Kirkland,433,Jay O. Sanders,256,Cheryl Penland,4,698
CS1318,John Whitesell,14,Chloë Grace Moretz,17000,Nia Long,826,Marisol Nichols,633,19334
CS1319,Gore Verbinski,563,J.K. Simmons,24000,Brad Pitt,11000,Julia Roberts,8000,43917
CS1320,Angelina Jolie Pitt,11000,Finn Wittrock,769,Jack O'Connell,698,Alex Russell,465,2938
CS1321,Burr Steers,23,Matthew Perry,2000,Hunter Parrish,2000,Thomas Lennon,651,7009
CS1322,Nick Cassavetes,415,Don Johnson,982,Kate Upton,971,David Thornton,119,2357
CS1323,David R. Ellis,160,Krista Allen,164000,Andrew Fiscella,137000,Shantel VanSanten,748,303717
CS1324,Steven Spielberg,14000,Tom Hanks,15000,Mark Rylance,535,Amy Ryan,423,16944
CS1325,John Moore,212,Joaquim de Almeida,578,David Keith,563,Sam Jaeger,389,2544
CS1326,Nicholas Stoller,89,Pink,836,Mario Lopez,719,Lino Facioli,177,2091
CS1327,Peter Chelsom,23,Lisa Ann Walter,1000,Nick Cannon,593,Omar Benson Miller,418,2325
CS1328,Joe Dante,287,Kirsten Dunst,4000,Denis Leary,835,Robert Picardo,823,8610
CS1329,Mark A.Z. Dippé,20,Michael Jai White,2000,Frank Welker,2000,Miko Hughes,968,7039
CS1330,Kevin Reynolds,58,Henry Cavill,15000,James Frain,1000,Michael Wincott,720,17152
CS1331,Brad Furman,65,Matthew McConaughey,11000,Margarita Levieva,980,Frances Fisher,638,13943
CS1332,Jaume Collet-Serra,174,Liam Neeson,14000,Frank Langella,903,Aidan Quinn,767,17152
CS1333,Christopher Nolan,22000,Christian Bale,23000,Hugh Jackman,20000,Scarlett Johansson,19000,63986
CS1334,Sean Anders,51,Kevin Spacey,18000,Christoph Waltz,11000,Lindsay Sloane,465,30571
CS1335,Cal Brunker,7,Brendan Fraser,3000,Paul Scheer,190,Jonathan Morgan Heit,91,3361
CS1336,Mel Gibson,0,Rudy Youngblood,708,Dalia Hernández,78,Jonathan Brewer,19,848
CS1337,John Glen,46,Joe Don Baker,387,Desmond Llewelyn,244,Art Malik,162,1233
CS1338,Nimród Antal,190,Topher Grace,2000,Alice Braga,1000,Derek Mears,520,4243
CS1339,Ivan Reitman,425,Brian Dennehy,954,Debra Winger,568,Roscoe Lee Browne,204,2179
CS1340,David Koepp,192,Johnny Depp,40000,Charles S. Dutton,534,Timothy Hutton,501,41293
CS1341,Alejandro Agresti,18,Keanu Reeves,18000,Dylan Walsh,426,Ebon Moss-Bachrach,211,18693
CS1342,Iain Softley,34,Gena Rowlands,545,Deneen Tyler,351,Joy Bryant,280,1274
CS1343,Peter Hedges,54,Jennifer Garner,3000,Odeya Rush,2000,Common,988,9069
CS1344,Paul Weiland,10,Busy Philipps,1000,Beau Garrett,689,Kevin Sussman,681,4298
CS1345,Clint Eastwood,16000,Johnny Cannizzaro,880,Steve Schirripa,413,Scott Vance,235,2281
CS1346,Francis Ford Coppola,0,Matt Damon,13000,Dean Stockwell,936,Virginia Madsen,913,16762
CS1347,Mathieu Kassovitz,326,Robert Downey Jr.,21000,Charles S. Dutton,534,Bernard Hill,416,22318
CS1348,Steven Spielberg,14000,Anthony Hopkins,12000,Morgan Freeman,11000,Matthew McConaughey,11000,37570
CS1349,John McTiernan,323,Lorraine Bracco,472,José Wilker,47,Sean Connery,0,519
CS1350,Colin Strause,25,Sam Trammell,1000,Johnny Lewis,741,Ian Whyte,473,4324
CS1351,Donald Petrie,80,Macaulay Culkin,3000,John Larroquette,450,Jonathan Hyde,287,4634
CS1352,Joan Chen,643,J.K. Simmons,24000,Sam Trammell,1000,Elaine Stritch,586,26938
CS1353,Marc Lawrence,30,Brad Garrett,799,Scott Porter,690,Haley Bennett,664,2787
CS1354,Greg Mottola,99,Bobby Lee,176,Nelson Ascencio,61,Jeremy Owen,57,390
CS1355,Anne Fletcher,98,Miriam Margolyes,405,Tom Virtue,358,Julene Renee,78,1070
CS1356,Wes Craven,0,Alison Brie,2000,Aimee Teegarden,741,Shenae Grimes-Beech,687,4486
CS1357,Joel Schumacher,541,Nicolas Cage,12000,Chris Bauer,638,Anthony Heald,173,12970
CS1358,Oliver Stone,0,Michael Wincott,720,Kevin Dillon,576,Kathleen Quinlan,552,3044
CS1359,Jake Kasdan,52,James Wilcox,683,Randall Park,392,Nat Faxon,214,1488
CS1360,Diane Keaton,0,Adam Arkin,374,Celia Weston,258,Jesse James,235,1238
CS1361,Steven Quale,77,Emma Bell,703,Jacqueline MacInnes Wood,682,Courtney B. Vance,495,3074
CS1362,Kelly Makin,6,Jeanne Tripplehorn,711,Burt Young,683,Vincent Pastore,584,2913
CS1363,Mimi Leder,75,Kevin Spacey,18000,Haley Joel Osment,3000,Angie Dickinson,754,23920
CS1364,Bobby Farrelly,101,Jimmy Fallon,787,KaDee Strickland,299,Ione Skye,223,1827
CS1365,,,Bruce Dinsmore,51,Melissa Altro,21,Daniel Brochu,12,108
CS1366,Steven Brill,65,Lisa Ann Walter,1000,Shaun Weiss,613,Matt Walsh,490,3239
CS1367,Seth MacFarlane,3000,Liam Neeson,14000,Charlize Theron,9000,Seth MacFarlane,3000,28927
CS1368,Russell Mulcahy,85,Jonathan Winters,924,Peter Boyle,595,John Kapelos,510,2711
CS1369,Stephen Daldry,335,Tom Hanks,15000,Thomas Horn,467,Stephen Henderson,64,15595
CS1370,Roger Michell,50,Noah Bean,293,Patti D'Arbanville,117,Vanessa Aspillaga,58,621
CS1371,Jim Sheridan,260,50 Cent,1000,Bill Duke,1000,Marc John Jefferies,441,3969
CS1372,Christian Duguay,18,Michael Biehn,2000,Cary-Hiroyuki Tagawa,1000,Anne Archer,249,3753
CS1373,Chris Columbus,0,Rosario Dawson,3000,David Fine,1000,Jesse L. Martin,715,5917
CS1374,Chuck Russell,55,Rufus Sewell,3000,Jimmy Smits,941,Angela Bettis,294,4565
CS1375,Sam Weisman,39,Oliver Hudson,607,Valerie Perri,322,Carlease Burke,210,1335
CS1376,John Frankenheimer,287,Marlon Brando,10000,Temuera Morrison,368,Marco Hofschneider,44,10469
CS1377,Peter Hyams,0,Catherine Deneuve,964,Justin Chambers,931,Stephen Rea,327,2888
CS1378,Justin Chadwick,56,Natalie Portman,20000,Scarlett Johansson,19000,Benedict Cumberbatch,19000,77823
CS1379,Pat O'Connor,7,Keanu Reeves,18000,Charlize Theron,9000,Frank Langella,903,29484
CS1380,Stephen Hopkins,81,Stephen Rea,327,Andrea Frankle,253,William Ragsdale,135,960
CS1381,Martin Scorsese,17000,Robert De Niro,22000,David Carradine,926,David Proval,354,23737
CS1382,Penny Marshall,545,Ed Begley Jr.,783,Cliff Robertson,754,Lillo Brancato,353,3126
CS1383,Olivier Megaton,118,Jordi Mollà,877,Callum Blue,738,Jesse Borrego,674,3432
CS1384,Frederik Du Chau,7,Gary Oldman,10000,Jaleel White,908,Eric Idle,795,14275
CS1385,Michael Caton-Jones,105,Robert De Niro,22000,James Franco,11000,John Doman,616,34377
CS1386,Irwin Winkler,34,Mira Sorvino,978,Nathan Lane,886,Steven Weber,685,3821
CS1387,Joseph Kahn,33,Dane Cook,1000,Jay Hernandez,1000,Christina Milian,1000,5039
CS1388,Harold Becker,17,Al Pacino,14000,Martin Landau,940,Bridget Fonda,889,17877
CS1389,Paul Verhoeven,719,Bobbie Phillips,16000,Elizabeth Berkley,893,Robert Davi,683,18913
CS1390,Sofia Coppola,0,Kirsten Dunst,4000,Shirley Henderson,887,Rip Torn,826,7243
CS1391,Barbet Schroeder,58,Nicolas Cage,12000,Michael Rapaport,975,Philip Baker Hall,497,14008
CS1392,Stephen Kay,19,Sylvester Stallone,13000,Miranda Richardson,530,Lauren Lee Smith,351,14463
CS1393,J.A. Bayona,171,Naomi Watts,6000,Geraldine Chaplin,382,Oaklee Pendergast,284,7099
CS1394,Elaine May,124,Carol Kane,636,Warren Beatty,631,Isabelle Adjani,572,3374
CS1395,Wes Anderson,0,Bill Murray,13000,Meryl Streep,11000,Helen McCrory,563,24770
CS1396,Stephen Herek,65,Angelina Jolie Pitt,11000,Stockard Channing,944,James Gammon,311,12566
CS1397,John Carpenter,0,Richard Epcar,782,Michael McKean,658,Patricia Heaton,402,2125
CS1398,Jean-Pierre Jeunet,0,Mathieu Kassovitz,326,Jamel Debbouze,326,Isabelle Nanty,54,809
CS1399,Dennie Gordon,29,Mary-Kate Olsen,976,Bob Saget,799,Riley Smith,762,3974
CS1400,Charles Shyer,14,Omar Epps,865,Nia Long,826,Jane Krakowski,624,3639
CS1401,Ken Kwapis,42,Ted Danson,875,Tim Blake Nelson,596,Andrew Daly,171,1702
CS1402,Ulu Grosbard,22,Alexa PenaVega,2000,Treat Williams,642,Jonathan Jackson,613,4327
CS1403,William Malone,37,Natascha McElhone,2000,Jeffrey Combs,886,Udo Kier,595,4262
CS1404,Paul Weitz,80,Josh Hutcherson,14000,Salma Hayek,4000,Patrick Fugit,835,20503
CS1405,Paul McGuigan,118,Daniel Radcliffe,11000,Spencer Wilding,1000,Daniel Mays,287,12876
CS1406,Danny DeVito,0,Justin Theroux,1000,Amber Valletta,627,Harvey Fierstein,500,3096
CS1407,Malcolm D. Lee,92,Bernie Mac,1000,Sean Hayes,760,Mike Epps,706,4103
CS1408,Jerry Jameson,5,M. Emmet Walsh,521,Jason Robards,372,Anne Archer,249,1883
CS1409,Mic Rodgers,7,Michael Jai White,2000,Daniel von Bargen,577,Xander Berkeley,485,4024
CS1410,Christian Alvart,22,Norman Reedus,12000,Dennis Quaid,2000,Eddie Rouse,61,14127
CS1411,Gary Fleder,39,Gary Dourdan,1000,Mekhi Phifer,1000,Tim Guinee,259,2664
CS1412,Christian Duguay,18,Rufus Sewell,3000,Bridgette Wilson-Sampras,545,Rupert Graves,443,4123
CS1413,Jean-Marie Poiré,8,Bridgette Wilson-Sampras,545,Matt Ross,248,John Aylward,219,1149
CS1414,Danny Boyle,0,Chris Evans,11000,Benedict Wong,372,Troy Garity,167,11623
CS1415,Brian Robbins,48,John Gatins,61,Lou Saliba,46,Greg Collins,39,222
CS1416,Marc F. Adler,0,Eric Idle,795,Anne Bancroft,754,Kelly Ripa,379,2449
CS1417,Pierre Morel,180,Ray Winstone,1000,Mark Rylance,535,Jasmine Trinca,87,1686
CS1418,Geoffrey Sax,13,Alex Pettyfer,15000,Sophie Okonedo,460,Ashley Walters,173,15638
CS1419,D.J. Caruso,154,Sarah Roemer,884,Aaron Yoo,617,Jose Pablo Cantillo,502,2288
CS1420,Iain Softley,34,Angelina Jolie Pitt,11000,Fisher Stevens,922,Lorraine Bracco,472,13821
CS1421,Richard Shepard,47,James Brolin,499,Zan Marolt,3,Ljubomir Kerekes,2,504
CS1422,Joel Coen,0,Jennifer Jason Leigh,1000,Bill Cobbs,970,John Mahoney,385,2612
CS1423,Peter Ho-Sun Chan,31,Jet Li,5000,Takeshi Kaneshiro,755,Andy Lau,483,6267
CS1424,Sergey Bodrov,44,Jay Hernandez,1000,Kuno Becker,580,Jason Scott Lee,533,2115
CS1425,Joon-ho Bong,584,Chris Evans,11000,Ewen Bremner,557,Kang-ho Song,398,12286
CS1426,Bibo Bergeron,10,Adam Goldberg,1000,Bob Balaban,559,François Cluzet,541,3243
CS1427,Jeff Nathanson,23,Matthew Broderick,2000,Glenn Morshower,894,Tim Blake Nelson,596,5240
CS1428,Alex Proyas,295,Michael Wincott,720,Bai Ling,581,David Patrick Kelly,380,2630
CS1429,S.S. Rajamouli,50,Tamannaah Bhatia,218,Anushka Shetty,133,Prabhas,72,554
CS1430,Robert Schwentke,124,Arliss Howard,152,Brooklynn Proulx,142,Michelle Nolden,100,568
CS1431,Michael Lehmann,36,Colin Ferguson,747,Stephen Collins,452,Tom Everett Scott,433,1930
CS1432,Rob Cohen,357,Paul Walker,23000,Vin Diesel,14000,Jordana Brewster,4000,45327
CS1433,Tim Burton,13000,Martin Landau,940,Catherine O'Hara,925,Atticus Shaffer,787,4774
CS1434,Joss Whedon,0,Adam Baldwin,2000,Sean Maher,505,Michael Hitchcock,279,2853
CS1435,Charles S. Dutton,534,Omar Epps,865,Charles S. Dutton,534,Tim Daly,511,2972
CS1436,Richard Lester,44,Margot Kidder,593,Robert Vaughn,542,Jackie Cooper,420,2329
CS1437,Peter Segal,88,Robert De Niro,22000,Sylvester Stallone,13000,Oscar Gale,785,36009
CS1438,John Woo,610,Takeshi Kaneshiro,755,Tony Chiu Wai Leung,643,Wei Zhao,478,2172
CS1439,Andy Tennant,72,Ethan Embry,982,Mary Lynn Rajskub,935,Courtney Gains,559,4251
CS1440,Robert Luketic,126,Gerard Butler,18000,John Michael Higgins,957,Eric Winter,954,22436
CS1441,Jonathan Lynn,36,Austin Pendleton,592,Phil Hartman,516,Max Casella,275,2176
CS1442,Robert Rodriguez,0,Steve Buscemi,12000,Alexa PenaVega,2000,Emily Osment,1000,18291
CS1443,David Carson,18,LeVar Burton,1000,Alan Ruck,946,Jonathan Frakes,906,6427
CS1444,Kar-Wai Wong,0,Tony Chiu Wai Leung,643,Hye-kyo Song,290,Elvis Tsui,7,943
CS1445,Francis Lawrence,508,Robert Pattinson,21000,Christoph Waltz,11000,James Frain,1000,36062
CS1446,,,Joseph Gordon-Levitt,23000,Wayne Knight,967,Kristen Johnston,501,25160
CS1447,Yuefeng Song,0,Blythe Auffarth,76,Bianca Collins,47,Jiao Xu,46,196
CS1448,Norman Jewison,278,Denzel Washington,18000,Vincent Pastore,584,Deborah Kara Unger,494,20516
CS1449,Michael Apted,150,Bill Cobbs,970,Jeff Kober,919,Billy Campbell,789,3770
CS1450,David Mirkin,7,Sarah Silverman,931,Anne Bancroft,754,Jeffrey Jones,692,2912
CS1451,Andy Fickman,99,D.B. Woodside,598,Daniella Alonso,557,Eduardo Verástegui,377,3552
CS1452,Luis Mandoki,43,Sonia Braga,308,Shirley Knight,285,Kari Matchett,280,1440
CS1453,John Pasquin,11,Jim Belushi,854,Ken Marino,543,Kelly Lynch,466,2765
CS1454,Roman Polanski,2000,Johnny Depp,40000,Frank Langella,903,Lena Olin,541,42344
CS1455,Michael Apted,150,J.K. Simmons,24000,Paul Guilfoyle,210,Bill Nunn,182,24547
CS1456,Stephen Herek,65,Beth Grant,628,Dagmara Dominczyk,316,Matthew Glave,108,1265
CS1457,Lee Daniels,304,Mo'Nique,940,Gabourey Sidibe,906,Mariah Carey,736,3277
CS1458,Ridley Scott,0,Jeff Bridges,12000,Jason Marsden,1000,Ethan Embry,982,16237
CS1459,John Carpenter,0,Wilford Brimley,957,Richard Masur,163,David Clennon,145,1757
CS1460,David Twohy,123,Vin Diesel,14000,Nolan Gerard Funk,924,Bokeem Woodbine,904,17551
CS1461,Jeb Stuart,11,Gregory Scott Cummins,37,Claudia Stedelin,12,Ted Markland,12,74
CS1462,Steve Miner,49,Tom Skerritt,1000,Usher Raymond,569,Leonor Varela,427,2120
CS1463,Gil Kenan,27,Bill Murray,13000,Toby Jones,2000,Harry Treadaway,260,15494
CS1464,Paul Thomas Anderson,0,Mike Howard,378,Jeffrey W. Jenkins,18,Bruce Goodchild,15,427
CS1465,David Leland,2,Hayden Christensen,4000,Ryan Cartwright,476,David Walliams,217,4900
CS1466,Gary Fleder,39,Dennis Quaid,2000,Nicole Beharie,898,Charles S. Dutton,534,5162
CS1467,J Blakeson,5,Chloë Grace Moretz,17000,Maggie Siff,1000,Nick Robinson,724,19974
CS1468,Ryan Coogler,0,Sylvester Stallone,13000,Phylicia Rashad,597,Graham McTavish,531,15106
CS1469,Ben Affleck,0,Jeremy Renner,10000,Jon Hamm,4000,Owen Burke,206,14296
CS1470,Kirk Jones,52,Anna Kendrick,10000,Dennis Quaid,2000,Thomas Lennon,651,13396
CS1471,Ethan Coen,1000,J.K. Simmons,24000,Brad Pitt,11000,Kevin Sussman,681,36093
CS1472,Jennifer Flackett,3,Gerard Butler,18000,Anthony Simcoe,82,Christopher James Baker,35,18178
CS1473,Ron Howard,2000,Chris Hemsworth,26000,Olivia Wilde,10000,Alexandra Maria Lara,471,37206
CS1474,Paul Thomas Anderson,0,Patton Oswalt,786,Neil Flynn,625,Jim Meskimen,272,1906
CS1475,Kevin Smith,0,Bruce Willis,13000,Tracy Morgan,642,Kevin Pollak,574,14483
CS1476,Christian Ditter,11,Alison Brie,2000,Damon Wayans Jr.,756,Nicholas Braun,591,4882
CS1477,Charles Martin Smith,188,Morgan Freeman,11000,Michael Roark,680,Harry Connick Jr.,631,14209
CS1478,Catherine Hardwicke,308,Kristen Stewart,17000,Taylor Lautner,12000,Anna Kendrick,10000,44060
CS1479,Nick Cassavetes,415,Denzel Washington,18000,Laura Harring,669,Anne Heche,644,20970
CS1480,Les Mayfield,10,Peter Greene,789,Dave Chappelle,744,Tamala Jones,405,2986
CS1481,Rawson Marshall Thurber,43,Laura-Leigh,740,Molly C. Quinn,707,Thomas Lennon,651,3425
CS1482,Fedor Bondarchuk,35,Yuliya Snigir,463,Fedor Bondarchuk,35,Aleksey Serebryakov,30,599
CS1483,Jonathan Mostow,84,Kathleen Quinlan,551,M.C. Gainey,284,J.T. Walsh,263,1874
CS1484,Irvin Kershner,883,Bernie Casey,180,Klaus Maria Brandauer,172,Barbara Carrera,133,762
CS1485,Steve Pink,38,Charlie McDermott,496,Collette Wolfe,390,Crystal Lowe,318,1272
CS1486,Charles Martin Smith,188,Morgan Freeman,11000,Taylor Blackwell,641,Harry Connick Jr.,631,13904
CS1487,John Frankenheimer,287,Charlize Theron,9000,James Frain,1000,Clarence Williams III,475,10838
CS1488,F. Gary Gray,473,Vin Diesel,14000,Jeff Kober,919,Larenz Tate,582,16611
CS1489,Cameron Crowe,488,Emma Stone,15000,Bradley Cooper,14000,Bill Murray,13000,44037
CS1490,Rob Reiner,0,Alexa PenaVega,2000,Virginia Madsen,912,Craig T. Nelson,723,3968
CS1491,Scott Hicks,96,Rick Yune,746,Reeve Carney,602,Daniel von Bargen,577,2393
CS1492,Mikael Håfström,101,Anthony Hopkins,12000,Colin O'Donoghue,3000,Toby Jones,2000,19904
CS1493,Andrew Niccol,487,Blair Underwood,685,Xander Berkeley,485,Mason Gamble,263,1942
CS1494,Andrew Bergman,31,Stockard Channing,944,Nathan Lane,886,John Larroquette,450,2928
CS1495,Kirk De Micco,16,Cheryl Hines,541,Kenan Thompson,521,Omid Abtahi,387,2268
CS1496,Chris Rock,0,Bernie Mac,1000,Dylan Baker,812,Tracy Morgan,642,4537
CS1497,Todd Phillips,480,Bradley Cooper,14000,Rob Riggle,839,Mike Epps,706,17623
CS1498,Wilson Yip,25,Mike Tyson,461,Lynn Hung,79,Kwok-Kwan Chan,51,615
CS1499,Jay Roach,116,Muse Watson,45000,Verne Troyer,645,Robert Wagner,481,47203
CS1500,Tim Burton,13000,Michael Gough,920,Jack Palance,549,William Hootkins,488,2725
CS1501,Roland Joffé,596,Jordi Mollà,877,Dougray Scott,794,Lily Cole,785,3497
CS1502,Richard Donner,503,Rene Russo,808,Nick Chinlund,277,Stuart Wilson,94,1446
CS1503,John Lee Hancock,102,Catherine Dyer,768,Quinton Aaron,734,Kim Dickens,624,3389
CS1504,,,Jon Foo,778,Aimee Garcia,618,Wendie Malick,452,2255
CS1505,Robert Rodriguez,0,Alexa PenaVega,2000,Cheech Marin,843,Daryl Sabara,640,4499
CS1506,Seth Gordon,91,Kevin Spacey,18000,Lindsay Sloane,464,Reginald Ballard,64,18669
CS1507,Ethan Coen,1000,Matt Damon,13000,Jeff Bridges,12000,Bruce Green,538,25964
CS1508,David Frankel,64,Meryl Streep,11000,Anne Hathaway,11000,Rebecca Mader,505,23923
CS1509,Robert Wise,338,Leonard Nimoy,12000,Nichelle Nichols,664,Walter Koenig,643,16007
CS1510,Seth Gordon,91,Jon Favreau,4000,Eric Stonestreet,904,T.I.,680,5826
CS1511,Martin Scorsese,17000,Robert De Niro,22000,Robert Mitchum,1000,Joe Don Baker,387,24006
CS1512,Robert Luketic,126,Kevin Spacey,18000,Jim Sturgess,5000,Josh Gad,1000,25661
CS1513,Judd Apatow,0,Amy Schumer,492,Randall Park,392,Josh Segarra,213,1450
CS1514,Kevin Rodney Sullivan,8,Bernie Mac,1000,Nicole Sullivan,358,Sherri Shepherd,278,2689
CS1515,Anthony Minghella,333,Colin Firth,14000,Kristin Scott Thomas,1000,Jürgen Prochnow,362,15912
CS1516,Curtis Hanson,161,Kevin Spacey,18000,Matt McCoy,398,Paul Guilfoyle,210,19129
CS1517,Mike Mitchell,31,Michael Angarano,947,Kelly Preston,742,Nicholas Braun,591,2968
CS1518,Frank Oz,0,Tom Selleck,19000,Wilford Brimley,957,Lauren Ambrose,945,23504
CS1519,Roger Donaldson,79,Natasha Henstridge,900,Marg Helgenberger,759,Jordan Lund,25,1715
CS1520,Wes Craven,0,Johnny Depp,40000,Lin Shaye,852,Amanda Wyss,574,42918
CS1521,Tarsem Singh,763,Dylan Baker,812,Jake Weber,551,James Gammon,311,2474
CS1522,Randall Wallace,130,Leonardo DiCaprio,29000,Anne Parillaud,130,Judith Godrèche,80,29265
CS1523,Randall Wallace,130,Scott Glenn,826,Kevin Connolly,638,Dylan Walsh,426,2259
CS1524,Kevin Munroe,14,Chris Evans,11000,Sarah Michelle Gellar,4000,Mako,691,16571
CS1525,Michael Tollin,19,Alfre Woodard,1000,Riley Smith,762,Debra Winger,568,4231
CS1526,Will Gluck,87,Mila Kunis,15000,Justin Timberlake,3000,Masi Oka,923,20956
CS1527,Nicholas Stoller,89,Chloë Grace Moretz,17000,Ike Barinholtz,329,Kiersey Clemons,190,17860
CS1528,John Lee Hancock,102,Tom Hanks,15000,Ruth Wilson,2000,B.J. Novak,825,19809
CS1529,Spike Lee,0,Denzel Washington,18000,Delroy Lindo,848,Al Freeman Jr.,318,20143
CS1530,Judd Apatow,0,Charlyne Yi,529,Maude Apatow,130,Mackenzie Aladjem,120,1050
CS1531,Walt Becker,12,Robin Williams,49000,Bernie Mac,1000,Ann-Margret,931,53370
CS1532,Patrick Tatopoulos,148,Craig Parker,978,Kevin Grevioux,593,Steven Mackintosh,227,2184
CS1533,Ken Kwapis,42,Robin Williams,49000,Christine Taylor,838,Mindy Kaling,766,52566
CS1534,Dennis Dugan,221,Jon Lovitz,11000,Jon Heder,970,Tim Meadows,553,13125
CS1535,Gary David Goldberg,30,Stockard Channing,944,Victor Webster,940,Elizabeth Perkins,664,4879
CS1536,Mike Newell,179,Johnny Depp,40000,Al Pacino,14000,Anne Heche,646,56014
CS1537,Paul W.S. Anderson,545,Milla Jovovich,14000,Jaymes Butler,2000,Colin Salmon,766,17902
CS1538,Tobe Hooper,365,Heather O'Rourke,887,Zelda Rubinstein,770,Craig T. Nelson,723,3876
CS1539,Ethan Coen,1000,J.K. Simmons,24000,Tom Hanks,15000,Stephen Root,939,41701
CS1540,John Moore,212,Mila Kunis,15000,Beau Bridges,552,Jamie Hector,248,16249
CS1541,Andrew Niccol,487,Matt Bomer,20000,Olivia Wilde,10000,Justin Timberlake,3000,34011
CS1542,Alan Poul,16,Danneel Ackles,1000,Noureen DeWulf,700,Tom Bosley,584,3356
CS1543,Luke Greenfield,42,Ashley Williams,969,Steve Howey,826,Kirsten Day,196,2371
CS1544,,,Jodi Lyn O'Keefe,897,Kimberly Elise,637,Logan Browning,628,3438
CS1545,Gil Junger,19,Tom Wilkinson,1000,Marsha Thomason,691,Vincent Regan,447,2643
CS1546,Michael Ritchie,23,Tatum O'Neal,288,Vic Morrow,257,Joyce Van Patten,57,677
CS1547,Steven E. de Souza,133,Ming-Na Wen,2000,Raul Julia,1000,Kylie Minogue,690,5443
CS1548,Roman Polanski,2000,Emilia Fox,396,Frank Finlay,338,Ed Stoppard,95,1075
CS1549,Albert Hughes,117,Johnny Depp,40000,Jason Flemyng,1000,Ian Richardson,140,41636
CS1550,Catherine Hardwicke,308,Keisha Castle-Hughes,446,Hiam Abbass,224,Shaun Toub,206,966
CS1551,Jaume Collet-Serra,174,Robert Ri'chard,730,Paris Hilton,716,Brian Van Holt,324,2178
CS1552,Mike Nichols,0,Natalie Portman,20000,Julia Roberts,8000,Colin Stinton,23,28027
CS1553,Clint Eastwood,16000,Leonardo DiCaprio,29000,Naomi Watts,6000,Kaitlyn Dever,363,36258
CS1554,Alexandre Aja,192,Jason Flemyng,1000,Cameron Boyce,915,Julian Glover,844,3185
CS1555,Michael Rymer,48,Aaliyah,775,Lena Olin,541,Bruce Spence,531,3001
