cast_set_num,movie_title,actor_1_name,actor_2_name,actor_3_name,facenumber_in_poster
CS1461,Switchback ,Gregory Scott Cummins,Claudia Stedelin,Ted Markland,1
CS1462,Texas Rangers ,Tom Skerritt,Usher Raymond,Leonor Varela,2
CS1463,City of Ember ,Bill Murray,Toby Jones,Harry Treadaway,0
CS1464,The Master ,Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild,31
CS1465,Virgin Territory ,Hayden Christensen,Ryan Cartwright,David Walliams,2
CS1466,The Express ,Dennis Quaid,Nicole Beharie,Charles S. Dutton,0
CS1467,The 5th Wave ,Chloë Grace Moretz,Maggie Siff,Nick Robinson,0
CS1468,Creed ,Sylvester Stallone,Phylicia Rashad,Graham McTavish,1
CS1469,The Town ,Jeremy Renner,Jon Hamm,Owen Burke,7
CS1470,What to Expect When You're Expecting ,Anna Kendrick,Dennis Quaid,Thomas Lennon,12
CS1471,Burn After Reading ,J.K. Simmons,Brad Pitt,Kevin Sussman,0
CS1472,Nim's Island ,Gerard Butler,Anthony Simcoe,Christopher James Baker,3
CS1473,Rush ,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,0
CS1474,Magnolia ,Patton Oswalt,Neil Flynn,Jim Meskimen,1
CS1475,Cop Out ,Bruce Willis,Tracy Morgan,Kevin Pollak,2
CS1476,How to Be Single ,Alison Brie,Damon Wayans Jr.,Nicholas Braun,4
CS1477,Dolphin Tale ,Morgan Freeman,Michael Roark,Harry Connick Jr.,5
CS1478,Twilight ,Kristen Stewart,Taylor Lautner,Anna Kendrick,1
CS1479,John Q ,Denzel Washington,Laura Harring,Anne Heche,1
CS1480,Blue Streak ,Peter Greene,Dave Chappelle,Tamala Jones,1
CS1481,We're the Millers ,Laura-Leigh,Molly C. Quinn,Thomas Lennon,4
CS1482,Obitaemyy ostrov ,Yuliya Snigir,Fedor Bondarchuk,Aleksey Serebryakov,0
CS1483,Breakdown ,Kathleen Quinlan,M.C. Gainey,J.T. Walsh,0
CS1484,Never Say Never Again ,Bernie Casey,Klaus Maria Brandauer,Barbara Carrera,3
CS1485,Hot Tub Time Machine ,Charlie McDermott,Collette Wolfe,Crystal Lowe,8
CS1486,Dolphin Tale 2 ,Morgan Freeman,Taylor Blackwell,Harry Connick Jr.,0
CS1487,Reindeer Games ,Charlize Theron,James Frain,Clarence Williams III,0
CS1488,A Man Apart ,Vin Diesel,Jeff Kober,Larenz Tate,0
CS1489,Aloha ,Emma Stone,Bradley Cooper,Bill Murray,1
CS1490,Ghosts of Mississippi ,Alexa PenaVega,Virginia Madsen,Craig T. Nelson,0
CS1491,Snow Falling on Cedars ,Rick Yune,Reeve Carney,Daniel von Bargen,1
CS1492,The Rite ,Anthony Hopkins,Colin O'Donoghue,Toby Jones,1
CS1493,Gattaca ,Blair Underwood,Xander Berkeley,Mason Gamble,2
CS1494,Isn't She Great ,Stockard Channing,Nathan Lane,John Larroquette,0
CS1495,Space Chimps ,Cheryl Hines,Kenan Thompson,Omid Abtahi,0
CS1496,Head of State ,Bernie Mac,Dylan Baker,Tracy Morgan,1
CS1497,The Hangover ,Bradley Cooper,Rob Riggle,Mike Epps,3
CS1498,Ip Man 3 ,Mike Tyson,Lynn Hung,Kwok-Kwan Chan,0
CS1499,Austin Powers: The Spy Who Shagged Me ,Muse Watson,Verne Troyer,Robert Wagner,1
CS1500,Batman ,Michael Gough,Jack Palance,William Hootkins,0
CS1501,There Be Dragons ,Jordi Mollà,Dougray Scott,Lily Cole,0
CS1502,Lethal Weapon 3 ,Rene Russo,Nick Chinlund,Stuart Wilson,2
CS1503,The Blind Side ,Catherine Dyer,Quinton Aaron,Kim Dickens,0
CS1504,Rush Hour             ,Jon Foo,Aimee Garcia,Wendie Malick,2
CS1505,Spy Kids ,Alexa PenaVega,Cheech Marin,Daryl Sabara,0
CS1506,Horrible Bosses ,Kevin Spacey,Lindsay Sloane,Reginald Ballard,5
CS1507,True Grit ,Matt Damon,Jeff Bridges,Bruce Green,0
CS1508,The Devil Wears Prada ,Meryl Streep,Anne Hathaway,Rebecca Mader,0
CS1509,Star Trek: The Motion Picture ,Leonard Nimoy,Nichelle Nichols,Walter Koenig,2
CS1510,Identity Thief ,Jon Favreau,Eric Stonestreet,T.I.,2
CS1511,Cape Fear ,Robert De Niro,Robert Mitchum,Joe Don Baker,0
CS1512,21 ,Kevin Spacey,Jim Sturgess,Josh Gad,2
CS1513,Trainwreck ,Amy Schumer,Randall Park,Josh Segarra,1
CS1514,Guess Who ,Bernie Mac,Nicole Sullivan,Sherri Shepherd,2
CS1515,The English Patient ,Colin Firth,Kristin Scott Thomas,Jürgen Prochnow,0
CS1516,L.A. Confidential ,Kevin Spacey,Matt McCoy,Paul Guilfoyle,2
CS1517,Sky High ,Michael Angarano,Kelly Preston,Nicholas Braun,3
CS1518,In & Out ,Tom Selleck,Wilford Brimley,Lauren Ambrose,0
CS1519,Species ,Natasha Henstridge,Marg Helgenberger,Jordan Lund,0
CS1520,A Nightmare on Elm Street ,Johnny Depp,Lin Shaye,Amanda Wyss,1
CS1521,The Cell ,Dylan Baker,Jake Weber,James Gammon,1
CS1522,The Man in the Iron Mask ,Leonardo DiCaprio,Anne Parillaud,Judith Godrèche,1
CS1523,Secretariat ,Scott Glenn,Kevin Connolly,Dylan Walsh,0
CS1524,TMNT ,Chris Evans,Sarah Michelle Gellar,Mako,0
CS1525,Radio ,Alfre Woodard,Riley Smith,Debra Winger,1
CS1526,Friends with Benefits ,Mila Kunis,Justin Timberlake,Masi Oka,2
CS1527,Neighbors 2: Sorority Rising ,Chloë Grace Moretz,Ike Barinholtz,Kiersey Clemons,0
CS1528,Saving Mr. Banks ,Tom Hanks,Ruth Wilson,B.J. Novak,2
CS1529,Malcolm X ,Denzel Washington,Delroy Lindo,Al Freeman Jr.,0
CS1530,This Is 40 ,Charlyne Yi,Maude Apatow,Mackenzie Aladjem,2
CS1531,Old Dogs ,Robin Williams,Bernie Mac,Ann-Margret,2
CS1532,Underworld: Rise of the Lycans ,Craig Parker,Kevin Grevioux,Steven Mackintosh,1
CS1533,License to Wed ,Robin Williams,Christine Taylor,Mindy Kaling,3
CS1534,The Benchwarmers ,Jon Lovitz,Jon Heder,Tim Meadows,2
CS1535,Must Love Dogs ,Stockard Channing,Victor Webster,Elizabeth Perkins,2
CS1536,Donnie Brasco ,Johnny Depp,Al Pacino,Anne Heche,2
CS1537,Resident Evil ,Milla Jovovich,Jaymes Butler,Colin Salmon,0
CS1538,Poltergeist ,Heather O'Rourke,Zelda Rubinstein,Craig T. Nelson,0
CS1539,The Ladykillers ,J.K. Simmons,Tom Hanks,Stephen Root,1
CS1540,Max Payne ,Mila Kunis,Beau Bridges,Jamie Hector,1
CS1541,In Time ,Matt Bomer,Olivia Wilde,Justin Timberlake,2
CS1542,The Back-up Plan ,Danneel Ackles,Noureen DeWulf,Tom Bosley,0
CS1543,Something Borrowed ,Ashley Williams,Steve Howey,Kirsten Day,4
CS1544,Hit the Floor             ,Jodi Lyn O'Keefe,Kimberly Elise,Logan Browning,4
CS1545,Black Knight ,Tom Wilkinson,Marsha Thomason,Vincent Regan,1
CS1546,The Bad News Bears ,Tatum O'Neal,Vic Morrow,Joyce Van Patten,1
CS1547,Street Fighter ,Ming-Na Wen,Raul Julia,Kylie Minogue,1
CS1548,The Pianist ,Emilia Fox,Frank Finlay,Ed Stoppard,0
CS1549,From Hell ,Johnny Depp,Jason Flemyng,Ian Richardson,1
CS1550,The Nativity Story ,Keisha Castle-Hughes,Hiam Abbass,Shaun Toub,0
CS1551,House of Wax ,Robert Ri'chard,Paris Hilton,Brian Van Holt,0
CS1552,Closer ,Natalie Portman,Julia Roberts,Colin Stinton,2
CS1553,J. Edgar ,Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever,0
CS1554,Mirrors ,Jason Flemyng,Cameron Boyce,Julian Glover,0
CS1555,Queen of the Damned ,Aaliyah,Lena Olin,Bruce Spence,2
CS1556,Predator 2 ,Adam Baldwin,Robert Davi,Kevin Peter Hall,0
CS1557,Untraceable ,Billy Burke,Jesse Tyler Ferguson,Joseph Cross,1
CS1558,Blast from the Past ,Brendan Fraser,Sissy Spacek,Douglas Smith,0
CS1559,Flash Gordon ,Brian Blessed,William Hootkins,Sam J. Jones,1
CS1560,Jersey Girl ,Stephen Root,Mike Starr,George Carlin,5
CS1561,Alex Cross ,Cicely Tyson,Chad Lindberg,Carmen Ejogo,0
CS1562,Midnight in the Garden of Good and Evil ,Kevin Spacey,Bob Gunton,Leon Rippy,2
CS1563,Heist ,Robert De Niro,Joshua Mikel,D.B. Sweeney,1
CS1564,Nanny McPhee Returns ,Daniel Mays,Bill Bailey,Eros Vlahos,5
CS1565,Hoffa ,Frank Whaley,J.T. Walsh,Paul Guilfoyle,2
CS1566,The X Files: I Want to Believe ,Mitch Pileggi,Callum Rennie,Nicki Aycox,0
CS1567,Ella Enchanted ,Anne Hathaway,Steve Coogan,Joanna Lumley,1
CS1568,Concussion ,Will Smith,Eddie Marsan,Albert Brooks,0
CS1569,Abduction ,Ken Arnold,Benjamin J. Cain Jr.,Richard Cetrone,1
CS1570,Valiant ,Jim Broadbent,Olivia Williams,Pip Torrens,0
CS1571,Wonder Boys ,Robert Downey Jr.,Rip Torn,Richard Thomas,5
CS1572,Superhero Movie ,Drake Bell,Tracy Morgan,Marion Ross,6
CS1573,Broken City ,Alona Tal,James Ransone,Michael Beach,3
CS1574,Cursed ,Shannon Elizabeth,Portia de Rossi,Derek Mears,0
CS1575,Premium Rush ,Joseph Gordon-Levitt,Dania Ramirez,Aasif Mandvi,0
CS1576,Hot Pursuit ,Jim Gaffigan,Richard T. Jones,Michael Mosley,2
CS1577,The Four Feathers ,Djimon Hounsou,Lucy Gordon,Alex Jennings,2
CS1578,Parker ,Jason Statham,Clifton Collins Jr.,Wendell Pierce,0
CS1579,Wimbledon ,Kirsten Dunst,Jon Favreau,Austin Nichols,1
CS1580,Furry Vengeance ,Brendan Fraser,Brooke Shields,Matt Prokop,1
CS1581,Bait ,Alex Russell,Cariba Heine,Richard Brancatisano,1
CS1582,Krull ,Liam Neeson,Alun Armstrong,Lysette Anthony,1
CS1583,Lions for Lambs ,Meryl Streep,Tom Cruise,Andrew Garfield,3
CS1584,Flight of the Intruder ,Rosanna Arquette,Dann Florek,Christopher Rich,3
CS1585,Walk Hard: The Dewey Cox Story ,Tim Meadows,Nat Faxon,Matt Price,1
CS1586,The Shipping News ,Kevin Spacey,Scott Glenn,Jason Behr,3
CS1587,American Outlaws ,Gregory Smith,Ronny Cox,Harris Yulin,2
CS1588,The Young Victoria ,Michiel Huisman,Jim Broadbent,Thomas Kretschmann,1
CS1589,Whiteout ,Tom Skerritt,Bashar Rahal,Shawn Doyle,1
CS1590,The Tree of Life ,Brad Pitt,Tye Sheridan,Fiona Shaw,0
CS1591,Knock Off ,Paul Sorvino,Lela Rochon,Ray Nicholas,0
CS1592,Sabotage ,Mireille Enos,Martin Donovan,Maurice Compte,3
CS1593,The Order ,Heath Ledger,Mark Addy,Benno Fürmann,1
CS1594,Punisher: War Zone ,Julie Benz,Wayne Knight,Colin Salmon,1
CS1595,Zoom ,Kevin Zegers,Rip Torn,Thomas F. Wilson,5
CS1596,The Walk ,Joseph Gordon-Levitt,Soleyman Pierini,Jade Kindar-Martin,0
CS1597,Warriors of Virtue ,Marley Shelton,Lee Arenberg,Angus Macfadyen,0
CS1598,A Good Year ,Archie Panjabi,Albert Finney,Richard Coyle,1
CS1599,Luther             ,Ruth Wilson,Indira Varma,Warren Brown,1
CS1600,Radio Flyer ,Adam Baldwin,Thomas Ian Nicholas,John Heard,3
CS1601,"Blood In, Blood Out ",Delroy Lindo,Jesse Borrego,Raymond Cruz,2
CS1602,Smilla's Sense of Snow ,Jim Broadbent,Tom Wilkinson,Julia Ormond,1
CS1603,Femme Fatale ,Peter Coyote,Gregg Henry,Rie Rasmussen,1
CS1604,Lion of the Desert ,Oliver Reed,Rod Steiger,John Gielgud,0
CS1605,The Horseman on the Roof ,Olivier Martinez,François Cluzet,Isabelle Carré,1
CS1606,Ride with the Devil ,Jeremy W. Auman,Jeffrey Dover,Tobey Maguire,0
CS1607,Biutiful ,Maricel Álvarez,Hanaa Bouchaib,Eduard Fernández,0
CS1608,The Lovers ,Tamsin Egerton,Alice Englert,Bipasha Basu,3
CS1609,Bandidas ,Salma Hayek,Sam Shepard,Dwight Yoakam,2
CS1610,Black Water Transit ,Bill Cobbs,Aisha Tyler,Beverly D'Angelo,0
CS1611,The Maze Runner ,Ki Hong Lee,Aml Ameen,Jacob Latimore,0
CS1612,Unfinished Business ,Tom Wilkinson,June Diane Raphael,Melissa McMeekin,2
CS1613,The Age of Innocence ,Richard E. Grant,Geraldine Chaplin,Stuart Wilson,3
CS1614,The Fountain ,Hugh Jackman,Ellen Burstyn,Mark Margolis,0
CS1615,Chill Factor ,David Paymer,Kevin J. O'Connor,Hudson Leick,0
CS1616,Stolen ,Nicolas Cage,Mark Valley,Sami Gayle,1
CS1617,Ponyo ,Rumi Hiiragi,Yûki Amami,Yuria Nara,0
CS1618,The Longest Ride ,Tiago Riani,Melissa Benoist,Hayley Lovitt,0
CS1619,The Astronaut's Wife ,Johnny Depp,Charlize Theron,Clea DuVall,0
CS1620,I Dreamed of Africa ,Liam Aiken,Eva Marie Saint,Vincent Perez,1
CS1621,Playing for Keeps ,Gerard Butler,Dennis Quaid,Judy Greer,5
CS1622,Mandela: Long Walk to Freedom ,Terry Pheto,Fana Mokoena,Tony Kgoroge,1
CS1623,Reds ,Paul Sorvino,Warren Beatty,M. Emmet Walsh,0
CS1624,A Few Good Men ,Tom Cruise,Demi Moore,Kevin Pollak,0
CS1625,Exit Wounds ,Michael Jai White,Bill Duke,Bruce McGill,0
CS1626,Big Momma's House ,Nia Long,Cedric the Entertainer,Tichina Arnold,1
CS1627,Thunder and the House of Magic ,Kyle Hebert,Brianne Brozey,Joe Ochman,0
CS1628,The Darkest Hour ,Max Minghella,Veronika Vernadskaya,Dato Bakhtadze,0
CS1629,Step Up Revolution ,Ryan Guzman,Stephen Boss,Misha Gabriel Hamilton,0
CS1630,Snakes on a Plane ,Lin Shaye,Kenan Thompson,Rachel Blanchard,0
CS1631,The Watcher ,Keanu Reeves,Joseph Sikora,Chris Ellis,0
CS1632,The Punisher ,Laura Harring,Marco St. John,Eddie Jemison,1
CS1633,Goal! The Dream Begins ,Sean Pertwee,Kuno Becker,Stephen Dillane,0
CS1634,Safe ,Jason Statham,Reggie Lee,Robert John Burke,2
CS1635,Pushing Tin ,Angelina Jolie Pitt,Kurt Fuller,Jake Weber,3
CS1636,Star Wars: Episode VI - Return of the Jedi ,Harrison Ford,Ian McDiarmid,Kenny Baker,0
CS1637,Doomsday ,Ryan Kruger,Jason Cope,Jeremy Crutchley,1
CS1638,The Reader ,Kate Winslet,David Kross,Susanne Lothar,0
CS1639,Wanderlust ,Justin Theroux,Lauren Ambrose,Joe Lo Truglio,2
CS1640,Elf ,Peter Dinklage,Zooey Deschanel,Will Ferrell,1
CS1641,Phenomenon ,Robert Duvall,Kyra Sedgwick,David Gallagher,1
CS1642,Snow Dogs ,James Coburn,Nichelle Nichols,M. Emmet Walsh,1
CS1643,Scrooged ,Bill Murray,Alfre Woodard,Robert Mitchum,1
CS1644,Nacho Libre ,Ana de la Reguera,Moises Arias,Héctor Jiménez,1
CS1645,Bridesmaids ,Matt Lucas,Wendi McLendon-Covey,Steve Bannos,6
CS1646,This Is the End ,Channing Tatum,James Franco,Emma Watson,6
CS1647,Stigmata ,Nia Long,Enrico Colantoni,Portia de Rossi,0
CS1648,Men of Honor ,Robert De Niro,Charlize Theron,Michael Rapaport,0
CS1649,Takers ,Paul Walker,Hayden Christensen,Jay Hernandez,5
CS1650,The Big Wedding ,Robin Williams,Robert De Niro,Topher Grace,8
CS1651,"Big Mommas: Like Father, Like Son ",Brandon T. Jackson,Tony Curran,Portia Doubleday,2
CS1652,Source Code ,Jake Gyllenhaal,Cas Anvar,Russell Peters,3
CS1653,Alive ,Illeana Douglas,Danny Nucci,Michael DeLorenzo,3
CS1654,The Number 23 ,Logan Lerman,Virginia Madsen,Ed Lauter,1
CS1655,The Young and Prodigious T.S. Spivet ,Callum Rennie,Julian Richings,Judy Davis,1
CS1656,1941 ,Christopher Lee,John Belushi,Treat Williams,5
CS1657,Dreamer: Inspired by a True Story ,Ken Howard,Freddy Rodríguez,Holmes Osborne,1
CS1658,A History of Violence ,Viggo Mortensen,Kyle Schmid,William Hurt,1
CS1659,Transporter 2 ,Jason Statham,Jason Flemyng,Matthew Modine,1
CS1660,The Quick and the Dead ,Leonardo DiCaprio,Pat Hingle,Roberts Blossom,0
CS1661,Laws of Attraction ,Frances Fisher,Mike Doyle,Nora Dunn,1
CS1662,Bringing Out the Dead ,Nicolas Cage,Marc Anthony,Sonja Sohn,0
CS1663,Repo Men ,Alice Braga,RZA,Yvette Nicole Brown,0
CS1664,Dragon Wars: D-War ,Robert Forster,Aimee Garcia,Chris Mulkey,0
CS1665,Bogus ,Haley Joel Osment,Nancy Travis,Andrea Martin,3
CS1666,The Incredible Burt Wonderstone ,Steve Buscemi,Olivia Wilde,Steve Carell,4
CS1667,Cats Don't Dance ,George Kennedy,Frank Welker,Hal Holbrook,0
CS1668,Cradle Will Rock ,Bill Murray,Vanessa Redgrave,Emily Watson,2
CS1669,The Good German ,Tony Curran,Beau Bridges,Leland Orser,2
CS1670,George and the Dragon ,Joan Plowright,Rollo Weeks,Simon Callow,4
CS1671,Apocalypse Now ,Harrison Ford,Marlon Brando,Robert Duvall,1
CS1672,Going the Distance ,Rob Riggle,Kelli Garner,Jim Gaffigan,0
CS1673,Mr. Holland's Opus ,Alicia Witt,Olympia Dukakis,Jean Louisa Kelly,1
CS1674,Criminal ,Gary Oldman,Jordi Mollà,Doug Cockle,2
CS1675,Out of Africa ,Meryl Streep,Michael Gough,Michael Kitchen,0
CS1676,Flight ,Denzel Washington,Bruce Greenwood,Nadine Velazquez,0
CS1677,Moonraker ,Desmond Llewelyn,Lois Chiles,Lois Maxwell,2
CS1678,The Grand Budapest Hotel ,Bill Murray,Tom Wilkinson,F. Murray Abraham,0
CS1679,Hearts in Atlantis ,Anthony Hopkins,Mika Boorem,Hope Davis,1
CS1680,Arachnophobia ,Julian Sands,Peter Jason,Brian McNamara,0
CS1681,Frequency ,Dennis Quaid,Andre Braugher,Noah Emmerich,0
CS1682,Ghostbusters ,Ed Begley Jr.,Kate McKinnon,Zach Woods,4
CS1683,Vacation ,Chris Hemsworth,Norman Reedus,Beverly D'Angelo,4
CS1684,Get Shorty ,Delroy Lindo,Rene Russo,Jon Gries,4
CS1685,Chicago ,Colm Feore,Chita Rivera,Jayne Eastwood,0
CS1686,Big Daddy ,Steve Buscemi,Adam Sandler,Joey Lauren Adams,0
CS1687,American Pie 2 ,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,0
CS1688,Toy Story ,Tom Hanks,John Ratzenberger,Jim Varney,1
CS1689,Speed ,Keanu Reeves,Alan Ruck,Joe Morton,0
CS1690,The Vow ,Channing Tatum,Lucas Bryant,Dillon Casey,0
CS1691,Extraordinary Measures ,Harrison Ford,Brendan Fraser,Alan Ruck,2
CS1692,Remember the Titans ,Ryan Gosling,Denzel Washington,Ethan Suplee,1
CS1693,The Hunt for Red October ,Scott Glenn,Jeffrey Jones,Courtney B. Vance,1
CS1694,Lee Daniels' The Butler ,Alex Pettyfer,David Oyelowo,Vanessa Redgrave,0
CS1695,Dodgeball: A True Underdog Story ,Gary Cole,Stephen Root,Joel David Moore,0
CS1696,The Addams Family ,Anjelica Huston,Raul Julia,Carel Struycken,0
CS1697,Ace Ventura: When Nature Calls ,Bruce Spence,Bob Gunton,Sophie Okonedo,0
CS1698,The Princess Diaries ,Anne Hathaway,Hector Elizondo,Heather Matarazzo,2
CS1699,The First Wives Club ,Stockard Channing,Elizabeth Berkley,Stephen Collins,3
CS1700,Se7en ,Morgan Freeman,Brad Pitt,Reg E. Cathey,0
CS1701,District 9 ,Sharlto Copley,Jed Brophy,Jason Cope,0
CS1702,The SpongeBob SquarePants Movie ,Scarlett Johansson,Bill Fagerbakke,Rodger Bumpass,0
CS1703,Mystic River ,John Doman,Spencer Treat Clark,Tom Guiry,0
CS1704,Million Dollar Baby ,Clint Eastwood,Morgan Freeman,Mike Colter,1
CS1705,Analyze This ,Robert De Niro,Chazz Palminteri,Molly Shannon,2
CS1706,The Notebook ,Ryan Gosling,Kevin Connolly,Gena Rowlands,0
CS1707,27 Dresses ,Judy Greer,Bern Cohen,Yetta Gottesman,1
CS1708,Hannah Montana: The Movie ,Emily Osment,Vanessa Williams,Moises Arias,2
CS1709,Rugrats in Paris: The Movie ,Elizabeth Daily,Casey Kasem,Debbie Reynolds,0
CS1710,The Prince of Tides ,George Carlin,Blythe Danner,Melinda Dillon,1
CS1711,Legends of the Fall ,Anthony Hopkins,Brad Pitt,Julia Ormond,2
CS1712,Up in the Air ,J.K. Simmons,Anna Kendrick,Chris Lowell,0
CS1713,About Schmidt ,Hope Davis,June Squibb,Howard Hesseman,1
CS1714,Warm Bodies ,Cory Hardrict,Vincent Leclerc,Daniel Rindress-Kay,0
CS1715,Looper ,Joseph Gordon-Levitt,Bruce Willis,Tracie Thoms,0
CS1716,Down to Earth ,Chazz Palminteri,Mark Addy,Wanda Sykes,1
CS1717,Babe ,Miriam Margolyes,Christine Cavanaugh,Roscoe Lee Browne,0
CS1718,Hope Springs ,Meryl Streep,Steve Carell,Jean Smart,2
CS1719,Forgetting Sarah Marshall ,Mila Kunis,Jack McBrayer,Maria Thayer,1
CS1720,Friday Night Lights             ,Zach Gilford,Aimee Teegarden,Scott Porter,1
CS1721,Four Brothers ,Josh Charles,Tony Nappo,Fionnula Flanagan,3
CS1722,Baby Mama ,Tina Fey,Amy Poehler,Romany Malco,2
CS1723,Hope Floats ,Bill Cobbs,Harry Connick Jr.,Gena Rowlands,1
CS1724,Bride Wars ,Anne Hathaway,Steve Howey,Candice Bergen,2
CS1725,Without a Paddle ,Antony Starr,Scott Adsit,Bonnie Somerville,3
CS1726,13 Going on 30 ,Jennifer Garner,Judy Greer,Christa B. Allen,1
CS1727,Midnight in Paris ,Kurt Fuller,Audrey Fleurot,Nina Arianda,1
CS1728,The Nut Job ,Liam Neeson,Brendan Fraser,Sarah Gadon,0
CS1729,Blow ,Johnny Depp,Ethan Suplee,Jordi Mollà,1
CS1730,Message in a Bottle ,Robin Wright,John Savage,Raphael Sbarge,0
CS1731,Star Trek V: The Final Frontier ,Leonard Nimoy,Nichelle Nichols,Walter Koenig,1
CS1732,Like Mike ,Brenda Song,Robert Forster,Anne Meara,7
CS1733,Naked Gun 33 1/3: The Final Insult ,George Kennedy,Fred Ward,Priscilla Presley,5
CS1734,A View to a Kill ,Patrick Macnee,Alison Doody,Tanya Roberts,2
CS1735,The Curse of the Were-Rabbit ,Mark Gatiss,Geraldine McEwan,Peter Sallis,0
CS1736,P.S. I Love You ,Gerard Butler,Harry Connick Jr.,Nellie McKay,1
CS1737,Racing Stripes ,Bruce Greenwood,Frankie Muniz,M. Emmet Walsh,0
CS1738,Atonement ,Benedict Cumberbatch,Alfie Allen,Brenda Blethyn,1
CS1739,Letters to Juliet ,Vanessa Redgrave,Marcia DeBonis,Luisa Ranieri,1
CS1740,Black Rain ,Stephen Root,Ken Takakura,Kate Capshaw,2
CS1741,The Three Stooges ,Kate Upton,Larry David,Sean Hayes,0
CS1742,Corpse Bride ,Johnny Depp,Christopher Lee,Joanna Lumley,1
CS1743,Glory Road ,Mehcad Brooks,Austin Nichols,Derek Luke,1
CS1744,Sicario ,Edgar Arreola,Bernardo Saracino,Daniel Kaluuya,2
CS1745,Southpaw ,Jake Gyllenhaal,50 Cent,Oona Laurence,0
CS1746,Drag Me to Hell ,Bojana Novakovic,Alison Lohman,Reggie Lee,0
CS1747,The Age of Adaline ,Harrison Ford,Michiel Huisman,Ellen Burstyn,1
CS1748,Secondhand Lions ,Haley Joel Osment,Robert Duvall,Emmanuelle Vaugier,1
CS1749,Step Up 3D ,Alyson Stoner,Stephen Boss,Facundo Lombard,0
CS1750,Blue Crush ,Faizon Love,Mika Boorem,Sanoe Lake,3
CS1751,Stranger Than Fiction ,Will Ferrell,Christian Stolte,Danny Rhodes,1
CS1752,30 Days of Night ,Danny Huston,Mark Rendall,Megan Franich,0
CS1753,The Cabin in the Woods ,Chris Hemsworth,Bradley Whitford,Kristen Connolly,0
CS1754,Meet the Spartans ,Carmen Electra,Diedrich Bader,Method Man,0
CS1755,Midnight Run ,Robert De Niro,Yaphet Kotto,Philip Baker Hall,1
CS1756,The Running Man ,Yaphet Kotto,Maria Conchita Alonso,Richard Dawson,1
CS1757,Little Shop of Horrors ,Bill Murray,Jim Belushi,Tisha Campbell-Martin,2
CS1758,Hanna ,Jessica Barden,Vicky Krieps,John Macmillan,0
CS1759,The Family             ,Zach Gilford,Joan Allen,Liam James,4
CS1760,Mortal Kombat: Annihilation ,Brian Thompson,Talisa Soto,Robin Shou,0
CS1761,Larry Crowne ,Tom Hanks,Rob Riggle,Randall Park,0
CS1762,Carrie ,Chloë Grace Moretz,Judy Greer,Portia Doubleday,1
CS1763,Take the Lead ,Alfre Woodard,Yaya DaCosta,Jasika Nicole,0
CS1764,Entourage             ,Debi Mazar,Kevin Connolly,Kevin Dillon,2
CS1765,Gridiron Gang ,Dwayne Johnson,Jurnee Smollett-Bell,Kevin Dunn,1
CS1766,What's the Worst That Could Happen? ,Bernie Mac,Larry Miller,Richard Schiff,0
CS1767,9 ,Martin Landau,Alan Oppenheimer,Tom Kane,0
CS1768,Side Effects ,Channing Tatum,David Costabile,Katie Lowes,0
CS1769,The Prince and Me ,Devin Ratray,Miranda Richardson,Luke Mably,1
CS1770,Winnie the Pooh ,Craig Ferguson,Robert Lopez,Huell Howser,0
CS1771,Dumb and Dumberer: When Harry Met Lloyd ,Elden Henson,Mimi Rogers,Cheri Oteri,0
CS1772,Bulworth ,Warren Beatty,Kirk Baltz,Graham Beckel,1
CS1773,Get on Up ,Tika Sumpter,Josh Hopkins,Aunjanue Ellis,0
CS1774,One True Thing ,Meryl Streep,William Hurt,Tom Everett Scott,3
CS1775,Virtuosity ,Denzel Washington,Costas Mandylor,Traci Lords,1
CS1776,My Super Ex-Girlfriend ,Rainn Wilson,Eddie Izzard,Wanda Sykes,1
